SONG,artist_count,views,emotion,tempo
Temple (Spontaneous),3,4000000,1,0
Be Praised,3,5000000,1,0
The Story I'll tell,1,5000000,1,0
To You,3,5000000,1,1
Most High (Spontaneous),1,124000,2,0
Fresh Fire,2,2000000,3,1
Yahweh,2,3000000,3,1
Hymn of the Ages,1,2000000,2,0
Never leave,2,2000000,3,1
Fill the Room,1,5000000,1,0
Love Is a Miracle,2,8000000,3,1
Man of Your Word,2,29000000,3,1
Promises,2,143000000,1,0
Thank You,2,8000000,1,0
Lean Back,2,6000000,1,0
Holy Ghost,2,5000000,3,1
Such an Awesome God,2,7000000,1,0
Have my Heart,3,19000000,1,1
Old Church Basement,7,23000000,3,1
Talking to Jesus,1,32000000,2,0
Wait on You (reprise),3,72000000,1,0
Shall Not Want,6,33000000,3,0
Jireh,2,199000000,1,0
Million Little Miracles,3,60000000,2,0
Come Again,3,9000000,1,0
Used to This,2,10000000,1,0
Nadie Como Tu,3,2000000,3,1
Nada Me Movera,3,1000000,2,0
Aleluya,3,3000000,1,0
Libertad (spontaneous),3,965000,3,1
Me Rindo,2,2000000,1,0
Emmanuel,2,2000000,1,0
Promesas,2,4000000,1,0
Confio en Ti,2,1000000,3,1